
================================================================================
TRENDFOLOWER TRAINING DIAGNOSTIC LOG
================================================================================
Timestamp: 2025-12-09T22:34:35.218451
Log File:  logs\training_diagnostic_20251209_223435.txt
================================================================================

PURPOSE: This log captures internal state during training to help identify:
- Data leakage (features that shouldn't be used)
- Label distribution issues
- Feature-label correlations that are too high (suspicious)
- Model behavior anomalies
- Any other issues with the training pipeline



================================================================================
[SECTION] Backtest After Training
================================================================================
Time: 2025-12-09T22:34:35.219566
  backtest_test_samples: 1725
  backtest_test_start_idx: 9769


================================================================================
[SECTION] Backtest Execution
================================================================================
Time: 2025-12-09T22:35:16.925598
  backtest_bars: 1725
  backtest_initial_capital: 10000.0
  backtest_min_quality: C
  backtest_min_trend_prob: 0.5
  backtest_min_bounce_prob: 0.5
  backtest_stop_loss_atr: 1.0
  backtest_take_profit_rr: 2.0

  ✓ VERIFIED: No label columns in feature_cols
  feature_count: 479

  First 10 feature columns: ['1m_value', '1m_net_side', '1m_net_volume', '1m_net_value', '1m_avg_tick_dir', '1m_buy_volume', '1m_sell_volume', '1m_buy_sell_imbalance', '1m_vwap', '1m_trade_intensity']

  Signal Statistics:
  backtest_total_bars: 1725
  backtest_signals_checked: 1474
  backtest_trend_up_signals: 245
  backtest_trend_down_signals: 253
  backtest_trend_neutral_signals: 976
  backtest_quality_A: 9
  backtest_quality_B: 84
  backtest_quality_C: 1381
  backtest_rejected_quality: 0
  backtest_rejected_trend_prob: 38
  backtest_rejected_bounce_prob: 1042
  backtest_accepted_signals: 95

  Signal Breakdown (of 1474 bars checked):
    Trend UP predictions:    245 (16.6%)
    Trend DOWN predictions:  253 (17.2%)
    Trend NEUTRAL predictions: 976 (66.2%)

    Quality A signals: 9
    Quality B signals: 84
    Quality C signals: 1381

    Rejected (quality):      0
    Rejected (trend prob):   38
    Rejected (bounce prob):  1042
    ACCEPTED signals:        95

  Trade Details:
    #   Entry Time           Exit Time            Dir   Entry      Exit       P&L        Result Grade Exit Reason 
    -------------------------------------------------------------------------------------------------------------------
    1   2025-12-07 21:36     2025-12-07 21:42     SHORT 345.600006 343.595707 $400.00    WIN    B     take_profit 
    2   2025-12-07 21:56     2025-12-07 22:02     LONG  338.619995 337.458566 $-208.00   LOSS   C     stop_loss   
    3   2025-12-07 22:01     2025-12-07 22:03     SHORT 339.200012 337.248579 $407.68    WIN    B     take_profit 
    4   2025-12-07 22:05     2025-12-07 22:07     LONG  334.720001 333.456432 $-211.99   LOSS   C     stop_loss   
    5   2025-12-07 22:06     2025-12-07 22:10     LONG  333.519989 336.205697 $415.51    WIN    C     take_profit 
    6   2025-12-07 22:50     2025-12-07 22:55     SHORT 338.119995 336.084276 $432.13    WIN    C     take_profit 
    7   2025-12-07 22:54     2025-12-07 22:58     SHORT 337.320007 335.572863 $449.41    WIN    B     take_profit 
    8   2025-12-07 23:30     2025-12-07 23:35     LONG  336.440002 338.138567 $467.39    WIN    B     take_profit 
    9   2025-12-07 23:34     2025-12-07 23:43     LONG  337.029999 338.811423 $486.08    WIN    B     take_profit 
    10  2025-12-07 23:42     2025-12-07 23:46     LONG  337.940002 339.499996 $505.53    WIN    B     take_profit 
    11  2025-12-07 23:45     2025-12-07 23:50     LONG  339.070007 340.792860 $525.75    WIN    B     take_profit 
    12  2025-12-07 23:49     2025-12-07 23:51     LONG  340.559998 342.334281 $546.78    WIN    B     take_profit 
    13  2025-12-07 23:50     2025-12-07 23:52     LONG  341.040009 342.878579 $568.65    WIN    B     take_profit 
    14  2025-12-08 00:00     2025-12-08 00:07     LONG  341.339996 343.924282 $591.40    WIN    A     take_profit 
    15  2025-12-08 00:06     2025-12-08 00:10     LONG  342.559998 345.085715 $615.05    WIN    B     take_profit 
    16  2025-12-08 00:10     2025-12-08 00:17     LONG  343.420013 345.890019 $639.65    WIN    B     take_profit 
    17  2025-12-08 00:21     2025-12-08 00:26     LONG  346.160004 348.434283 $665.24    WIN    B     take_profit 
    18  2025-12-08 00:28     2025-12-08 00:30     LONG  347.559998 346.387142 $-345.93   LOSS   B     stop_loss   
    19  2025-12-08 00:29     2025-12-08 00:31     LONG  347.690002 346.580002 $-339.01   LOSS   B     stop_loss   
    20  2025-12-08 01:08     2025-12-08 01:16     LONG  344.170013 343.306440 $-332.23   LOSS   C     stop_loss   
    21  2025-12-08 01:33     2025-12-08 01:39     LONG  346.399994 348.754299 $651.16    WIN    B     take_profit 
    22  2025-12-08 01:49     2025-12-08 01:52     LONG  350.589996 349.474995 $-338.61   LOSS   B     stop_loss   
    23  2025-12-08 01:51     2025-12-08 02:32     LONG  349.790009 348.668577 $-331.83   LOSS   B     stop_loss   
    24  2025-12-08 02:35     2025-12-08 02:37     LONG  348.600006 349.787136 $650.39    WIN    C     take_profit 
    25  2025-12-08 04:05     2025-12-08 04:10     SHORT 353.529999 351.797137 $676.41    WIN    C     take_profit 
    26  2025-12-08 04:30     2025-12-08 04:32     LONG  350.720001 352.188568 $703.47    WIN    B     take_profit 
    27  2025-12-08 04:31     2025-12-08 04:35     LONG  351.890015 353.444297 $731.60    WIN    C     take_profit 
    28  2025-12-08 04:45     2025-12-08 04:47     SHORT 358.320007 355.811445 $760.87    WIN    C     take_profit 
    29  2025-12-08 04:46     2025-12-08 04:51     SHORT 355.989990 353.118570 $791.30    WIN    C     take_profit 
    30  2025-12-08 05:25     2025-12-08 05:33     LONG  353.149994 354.678563 $822.95    WIN    B     take_profit 
    31  2025-12-08 05:56     2025-12-08 05:58     LONG  354.239990 355.684274 $855.87    WIN    C     take_profit 
    32  2025-12-08 05:57     2025-12-08 05:59     LONG  354.200012 355.597151 $890.11    WIN    C     take_profit 
    33  2025-12-08 06:00     2025-12-08 06:04     LONG  354.940002 356.409995 $925.71    WIN    B     take_profit 
    34  2025-12-08 06:03     2025-12-08 06:05     LONG  355.359985 356.868548 $962.74    WIN    B     take_profit 
    35  2025-12-08 06:11     2025-12-08 06:15     LONG  355.769989 357.449977 $1001.25   WIN    A     take_profit 
    36  2025-12-08 06:31     2025-12-08 06:43     LONG  359.649994 362.102844 $1041.30   WIN    B     take_profit 
    37  2025-12-08 06:42     2025-12-08 06:44     LONG  359.799988 361.668557 $1082.95   WIN    B     take_profit 
    38  2025-12-08 06:44     2025-12-08 06:46     LONG  362.260010 361.005007 $-563.14   LOSS   B     stop_loss   
    39  2025-12-08 06:45     2025-12-08 06:47     LONG  361.589996 364.109998 $1103.75   WIN    B     take_profit 
    40  2025-12-08 06:46     2025-12-08 06:48     LONG  363.109985 365.851414 $1147.89   WIN    B     take_profit 
    41  2025-12-08 06:47     2025-12-08 06:49     LONG  362.799988 365.751417 $1193.81   WIN    B     take_profit 
    42  2025-12-08 06:56     2025-12-08 07:03     LONG  366.950012 371.337158 $1241.56   WIN    B     take_profit 
    43  2025-12-08 07:05     2025-12-08 07:07     SHORT 373.250000 374.738573 $-645.61   LOSS   C     stop_loss   
    44  2025-12-08 07:06     2025-12-08 07:09     SHORT 373.739990 370.692845 $1265.40   WIN    C     take_profit 
    45  2025-12-08 07:15     2025-12-08 07:21     SHORT 373.149994 375.044274 $-658.01   LOSS   C     stop_loss   
    46  2025-12-08 08:00     2025-12-08 08:06     LONG  368.209991 371.248570 $1289.70   WIN    C     take_profit 
    47  2025-12-08 09:04     2025-12-08 09:08     LONG  374.140015 376.878575 $1341.28   WIN    B     take_profit 
    48  2025-12-08 09:07     2025-12-08 09:12     LONG  376.429993 379.599984 $1394.94   WIN    B     take_profit 
    49  2025-12-08 09:11     2025-12-08 09:13     LONG  379.019989 382.845694 $1450.73   WIN    B     take_profit 
    50  2025-12-08 09:26     2025-12-08 09:39     SHORT 389.549988 392.312125 $-754.38   LOSS   C     stop_loss   
    51  2025-12-08 10:05     2025-12-08 10:08     LONG  387.760010 390.490016 $1478.59   WIN    C     take_profit 
    52  2025-12-08 10:07     2025-12-08 10:09     LONG  389.070007 391.780016 $1537.73   WIN    B     take_profit 
    53  2025-12-08 10:30     2025-12-08 10:35     LONG  391.000000 393.541421 $1599.24   WIN    B     take_profit 
    54  2025-12-08 11:15     2025-12-08 11:17     LONG  393.890015 396.345734 $1663.21   WIN    B     take_profit 
    55  2025-12-08 11:31     2025-12-08 11:33     SHORT 394.350006 392.285719 $1729.74   WIN    C     take_profit 
    56  2025-12-08 11:46     2025-12-08 12:05     LONG  384.619995 388.119982 $1798.93   WIN    C     take_profit 
    57  2025-12-08 12:05     2025-12-08 12:08     SHORT 389.100006 386.928580 $1870.88   WIN    B     take_profit 
    58  2025-12-08 12:07     2025-12-08 12:09     SHORT 388.320007 385.952868 $1945.72   WIN    C     take_profit 
    59  2025-12-08 12:10     2025-12-08 12:12     LONG  383.250000 381.727857 $-1011.77  LOSS   C     stop_loss   
    60  2025-12-08 12:11     2025-12-08 12:15     LONG  381.670013 384.790009 $1983.08   WIN    C     take_profit 
    61  2025-12-08 12:16     2025-12-08 12:27     SHORT 384.950012 381.634295 $2062.40   WIN    A     take_profit 
    62  2025-12-08 14:30     2025-12-08 14:32     LONG  386.559998 388.759997 $2144.90   WIN    B     take_profit 
    63  2025-12-08 14:31     2025-12-08 14:33     LONG  386.920013 389.175729 $2230.69   WIN    C     take_profit 
    64  2025-12-08 14:32     2025-12-08 14:34     LONG  388.559998 391.020002 $2319.92   WIN    B     take_profit 
    65  2025-12-08 14:33     2025-12-08 14:35     LONG  391.290009 394.867157 $2412.72   WIN    B     take_profit 
    66  2025-12-08 14:40     2025-12-08 14:46     LONG  396.920013 404.161451 $2509.23   WIN    B     take_profit 
    67  2025-12-08 14:57     2025-12-08 15:02     LONG  404.880005 401.530720 $-1304.80  LOSS   B     stop_loss   
    68  2025-12-08 15:45     2025-12-08 15:50     LONG  397.459991 401.481415 $2557.40   WIN    B     take_profit 
    69  2025-12-08 16:01     2025-12-08 16:09     LONG  399.730011 403.205719 $2659.70   WIN    B     take_profit 
    70  2025-12-08 16:08     2025-12-08 16:10     LONG  402.190002 405.464281 $2766.09   WIN    B     take_profit 
    71  2025-12-08 16:14     2025-12-08 16:19     LONG  404.500000 408.815704 $2876.73   WIN    B     take_profit 
